awardYear,category,categoryFullName,sortOrder,portion,prizeAmount,prizeAmountAdjusted,dateAwarded,prizeStatus,motivation,categoryTopMotivation,award_link,id,name,knownName,givenName,familyName,fullName,penName,gender,laureate_link,birth_date,birth_city,birth_cityNow,birth_continent,birth_country,birth_countryNow,birth_locationString,death_date,death_city,death_cityNow,death_continent,death_country,death_countryNow,death_locationString,orgName,nativeName,acronym,org_founded_date,org_founded_city,org_founded_cityNow,org_founded_continent,org_founded_country,org_founded_countryNow,org_founded_locationString,ind_or_org,residence_1,residence_2,affiliation_1,affiliation_2,affiliation_3,affiliation_4
1946,Literature,The Nobel Prize in  Literature,1,1,121524,2503929,NA,received,"for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1946,617,Hermann Hesse,Hermann Hesse,Hermann,Hesse,Hermann Hesse,NA,male,http://masterdataapi.nobelprize.org/2/laureate/617,1877-07-02,Calw,Calw,Europe,Germany,Germany,"Calw, Germany",1962-08-09,Montagnola,Montagnola,Europe,Switzerland,Switzerland,"Montagnola, Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Switzerland,NA,NA,NA,NA,NA
1947,Literature,The Nobel Prize in  Literature,1,1,146115,2914528,NA,received,"for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1947,618,André Gide,André Gide,André,Gide,André Paul Guillaume Gide,NA,male,http://masterdataapi.nobelprize.org/2/laureate/618,1869-11-22,Paris,Paris,Europe,France,France,"Paris, France",1951-02-19,Paris,Paris,Europe,France,France,"Paris, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,France,NA,NA,NA,NA,NA
1948,Literature,The Nobel Prize in  Literature,1,1,159773,3056881,NA,received,"for his outstanding, pioneer contribution to present-day poetry",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1948,619,T.S. Eliot,T.S. Eliot,T.S.,Eliot,Thomas Stearns Eliot,NA,male,http://masterdataapi.nobelprize.org/2/laureate/619,1888-09-26,"St. Louis, MO","St. Louis, MO",North America,USA,USA,"St. Louis, MO, USA",1965-01-04,London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,United Kingdom,NA,NA,NA,NA,NA
1949,Literature,The Nobel Prize in  Literature,1,1,156290,2930438,NA,received,for his powerful and artistically unique contribution to the modern American novel,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1949,620,William Faulkner,William Faulkner,William,Faulkner,William Faulkner,NA,male,http://masterdataapi.nobelprize.org/2/laureate/620,1897-09-25,"New Albany, MS","New Albany, MS",North America,USA,USA,"New Albany, MS, USA",1962-07-06,"Byhalia, MS","Byhalia, MS",North America,USA,USA,"Byhalia, MS, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,USA,NA,NA,NA,NA,NA
1950,Literature,The Nobel Prize in  Literature,1,1,164304,3050198,NA,received,in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1950,621,Bertrand Russell,Bertrand Russell,Bertrand,Russell,Earl (Bertrand Arthur William) Russell,NA,male,http://masterdataapi.nobelprize.org/2/laureate/621,1872-05-18,Trelleck,Trelleck,Europe,United Kingdom,United Kingdom,"Trelleck, United Kingdom",1970-02-02,Penrhyndeudraeth,Penrhyndeudraeth,Europe,United Kingdom,United Kingdom,"Penrhyndeudraeth, United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,United Kingdom,NA,NA,NA,NA,NA
1951,Literature,The Nobel Prize in  Literature,1,1,167612,2686090,NA,received,for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1951,622,Pär Lagerkvist,Pär Lagerkvist,Pär,Lagerkvist,Pär Fabian Lagerkvist,NA,male,http://masterdataapi.nobelprize.org/2/laureate/622,1891-05-23,Växjö,Växjö,Europe,Sweden,Sweden,"Växjö, Sweden",1974-07-11,Stockholm,Stockholm,Europe,Sweden,Sweden,"Stockholm, Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Sweden,NA,NA,NA,NA,NA
1952,Literature,The Nobel Prize in  Literature,1,1,171135,2546652,NA,received,for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1952,623,François Mauriac,François Mauriac,François,Mauriac,François Mauriac,NA,male,http://masterdataapi.nobelprize.org/2/laureate/623,1885-10-11,Bordeaux,Bordeaux,Europe,France,France,"Bordeaux, France",1970-09-01,Paris,Paris,Europe,France,France,"Paris, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,France,NA,NA,NA,NA,NA
1953,Literature,The Nobel Prize in  Literature,1,1,175293,2567769,NA,received,for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1953,624,Winston Churchill,Winston Churchill,Winston,Churchill,Sir Winston Leonard Spencer Churchill,NA,male,http://masterdataapi.nobelprize.org/2/laureate/624,1874-11-30,Woodstock,Woodstock,Europe,United Kingdom,United Kingdom,"Woodstock, United Kingdom",1965-01-24,London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,United Kingdom,NA,NA,NA,NA,NA
1954,Literature,The Nobel Prize in  Literature,1,1,181647,2640218,NA,received,"for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1954,625,Ernest Hemingway,Ernest Hemingway,Ernest,Hemingway,Ernest Miller Hemingway,NA,male,http://masterdataapi.nobelprize.org/2/laureate/625,1899-07-21,"Oak Park, IL","Oak Park, IL",North America,USA,USA,"Oak Park, IL, USA",1961-07-02,"Ketchum, ID","Ketchum, ID",North America,USA,USA,"Ketchum, ID, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,USA,NA,NA,NA,NA,NA
1955,Literature,The Nobel Prize in  Literature,1,1,190214,2681588,1955-10-27,received,for his vivid epic power which has renewed the great narrative art of Iceland,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1955,626,Halldór Laxness,Halldór Laxness,Halldór,Laxness,Halldór Kiljan Laxness,NA,male,http://masterdataapi.nobelprize.org/2/laureate/626,1902-04-23,Reykjavik,Reykjavik,Europe,Iceland,Iceland,"Reykjavik, Iceland",1998-02-08,Reykjavik,Reykjavik,Europe,Iceland,Iceland,"Reykjavik, Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Iceland,NA,NA,NA,NA,NA
1956,Literature,The Nobel Prize in  Literature,1,1,200123,2699501,NA,received,"for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1956,627,Juan Ramón Jiménez,Juan Ramón Jiménez,Juan Ramón,Jiménez,Juan Ramón Jiménez,NA,male,http://masterdataapi.nobelprize.org/2/laureate/627,1881-12-24,Moguer,Moguer,Europe,Spain,Spain,"Moguer, Spain",1958-05-29,San Juan,San Juan,North America,Puerto Rico,Puerto Rico,"San Juan, Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Spain,NA,NA,NA,NA,NA
1957,Literature,The Nobel Prize in  Literature,1,1,208629,2697789,NA,received,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1957,628,Albert Camus,Albert Camus,Albert,Camus,Albert Camus,NA,male,http://masterdataapi.nobelprize.org/2/laureate/628,1913-11-07,Mondovi,Mondovi,Africa,French Algeria,Algeria,"Mondovi, French Algeria (now Algeria)",1960-01-04,Sens,Sens,Europe,France,France,"Sens, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,France,NA,NA,NA,NA,NA
1958,Literature,The Nobel Prize in  Literature,1,1,214559,2646698,NA,restricted,for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1958,629,Boris Pasternak,Boris Pasternak,Boris,Pasternak,Boris Leonidovich Pasternak,NA,male,http://masterdataapi.nobelprize.org/2/laureate/629,1890-02-10,Moscow,Moscow,Europe,Russia,Russia,"Moscow, Russia",1960-05-30,Peredelkino,Peredelkino,Europe,Russia,Russia,"Peredelkino, Russia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,USSR (now Russia),NA,NA,NA,NA,NA
1959,Literature,The Nobel Prize in  Literature,1,1,220678,2704387,NA,received,"for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1959,630,Salvatore Quasimodo,Salvatore Quasimodo,Salvatore,Quasimodo,Salvatore Quasimodo,NA,male,http://masterdataapi.nobelprize.org/2/laureate/630,1901-08-20,Modica,Modica,Europe,Italy,Italy,"Modica, Italy",1968-06-14,Naples,Naples,Europe,Italy,Italy,"Naples, Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Italy,NA,NA,NA,NA,NA
1960,Literature,The Nobel Prize in  Literature,1,1,225987,2664941,1960-10-26,received,for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1960,631,Saint-John Perse,Saint-John Perse,Saint-John,Perse,Saint-John Perse,(pen-name of Alexis Léger),male,http://masterdataapi.nobelprize.org/2/laureate/631,1887-05-31,Pointe-à-Pitre,Pointe-à-Pitre,North America,Guadeloupe Island,Guadeloupe Island,"Pointe-à-Pitre, Guadeloupe Island",1975-09-20,Presqu'île-de-Giens,Presqu'île-de-Giens,Europe,France,France,"Presqu'île-de-Giens, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,France,NA,NA,NA,NA,NA
1961,Literature,The Nobel Prize in  Literature,1,1,250233,2878447,NA,received,for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1961,633,Ivo Andric,Ivo Andric,Ivo,Andric,Ivo Andric,NA,male,http://masterdataapi.nobelprize.org/2/laureate/633,1892-10-10,Dolac,Dolac,Europe,Bosnia,Bosnia and Herzegovina,"Dolac, Bosnia (now Bosnia and Herzegovina)",1975-03-13,Belgrade,Belgrade,Europe,Yugoslavia,Serbia,"Belgrade, Yugoslavia (now Serbia)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Yugoslavia (now N/A),NA,NA,NA,NA,NA
1962,Literature,The Nobel Prize in  Literature,1,1,257220,2836985,NA,received,"for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1962,634,John Steinbeck,John Steinbeck,John,Steinbeck,John Steinbeck,NA,male,http://masterdataapi.nobelprize.org/2/laureate/634,1902-02-27,"Salinas, CA","Salinas, CA",North America,USA,USA,"Salinas, CA, USA",1968-12-20,"New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,USA,NA,NA,NA,NA,NA
1963,Literature,The Nobel Prize in  Literature,1,1,265000,2839286,NA,received,"for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1963,635,Giorgos Seferis,Giorgos Seferis,Giorgos,Seferis,Giorgos Seferis,(pen-name of Giorgos Seferiadis),male,http://masterdataapi.nobelprize.org/2/laureate/635,1900-03-13,Smyrna,Izmir,Asia,Ottoman Empire,Turkey,"Smyrna, Ottoman Empire (now Izmir, Turkey)",1971-09-20,Athens,Athens,Europe,Greece,Greece,"Athens, Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Greece,NA,NA,NA,NA,NA
1964,Literature,The Nobel Prize in  Literature,1,1,273000,2828039,NA,declined,"for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1964,637,Jean-Paul Sartre,Jean-Paul Sartre,Jean-Paul,Sartre,Jean-Paul Sartre,NA,male,http://masterdataapi.nobelprize.org/2/laureate/637,1905-06-21,Paris,Paris,Europe,France,France,"Paris, France",1980-04-15,Paris,Paris,Europe,France,France,"Paris, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,France,NA,NA,NA,NA,NA
1965,Literature,The Nobel Prize in  Literature,1,1,282000,2782895,NA,received,"for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1965,638,Mikhail Sholokhov,Mikhail Sholokhov,Mikhail,Sholokhov,Mikhail Aleksandrovich Sholokhov,NA,male,http://masterdataapi.nobelprize.org/2/laureate/638,1905-05-24,Veshenskaya,Veshenskaya,Europe,Russia,Russia,"Veshenskaya, Russia",1984-02-21,Veshenskaya,Veshenskaya,Europe,USSR,Russia,"Veshenskaya, USSR (now Russia)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,USSR (now Russia),NA,NA,NA,NA,NA
1966,Literature,The Nobel Prize in  Literature,2,1/2,300000,2784653,NA,received,"for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1966,640,Nelly Sachs,Nelly Sachs,Nelly,Sachs,Nelly Sachs,NA,female,http://masterdataapi.nobelprize.org/2/laureate/640,1891-12-10,Berlin,Berlin,Europe,Germany,Germany,"Berlin, Germany",1970-05-12,Stockholm,Stockholm,Europe,Sweden,Sweden,"Stockholm, Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Sweden,NA,NA,NA,NA,NA
1966,Literature,The Nobel Prize in  Literature,1,1/2,300000,2784653,NA,received,for his profoundly characteristic narrative art with motifs from the life of the Jewish people,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1966,639,Shmuel Agnon,Shmuel Agnon,Shmuel,Agnon,Shmuel Yosef Agnon,NA,male,http://masterdataapi.nobelprize.org/2/laureate/639,1888-07-17,Buczacz,Buchach,Europe,Austria-Hungary,Ukraine,"Buczacz, Austria-Hungary (now Buchach, Ukraine)",1970-02-17,Rehovot,Rehovot,Asia,Israel,Israel,"Rehovot, Israel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Israel,NA,NA,NA,NA,NA
1967,Literature,The Nobel Prize in  Literature,1,1,320000,2843602,NA,received,"for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1967,641,Miguel Angel Asturias,Miguel Angel Asturias,Miguel Angel,Asturias,Miguel Angel Asturias,NA,male,http://masterdataapi.nobelprize.org/2/laureate/641,1899-10-19,Guatemala City,Guatemala City,North America,Guatemala,Guatemala,"Guatemala City, Guatemala",1974-06-09,Madrid,Madrid,Europe,Spain,Spain,"Madrid, Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Guatemala,NA,NA,NA,NA,NA
1968,Literature,The Nobel Prize in  Literature,1,1,350000,3052326,NA,received,"for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1968,642,Yasunari Kawabata,Yasunari Kawabata,Yasunari,Kawabata,Yasunari Kawabata,NA,male,http://masterdataapi.nobelprize.org/2/laureate/642,1899-06-11,Osaka,Osaka,Asia,Japan,Japan,"Osaka, Japan",1972-04-16,Zushi,Zushi,Asia,Japan,Japan,"Zushi, Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Japan,NA,NA,NA,NA,NA
1969,Literature,The Nobel Prize in  Literature,1,1,375000,3181561,NA,received,"for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1969,643,Samuel Beckett,Samuel Beckett,Samuel,Beckett,Samuel Beckett,NA,male,http://masterdataapi.nobelprize.org/2/laureate/643,1906-04-13,Dublin,Dublin,Europe,Ireland,Ireland,"Dublin, Ireland",1989-12-22,Paris,Paris,Europe,France,France,"Paris, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Ireland,NA,NA,NA,NA,NA
1970,Literature,The Nobel Prize in  Literature,1,1,400000,3177966,1970-10-08,received,for the ethical force with which he has pursued the indispensable traditions of Russian literature,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1970,644,Alexandr Solzhenitsyn,Alexandr Solzhenitsyn,Alexandr,Solzhenitsyn,Aleksandr Isayevich Solzhenitsyn,NA,male,http://masterdataapi.nobelprize.org/2/laureate/644,1918-12-11,Kislovodsk,Kislovodsk,Europe,Russia,Russia,"Kislovodsk, Russia",2008-08-03,Troitse-Lykovo,Troitse-Lykovo,Europe,Russia,Russia,"Troitse-Lykovo, Russia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,USSR (now Russia),NA,NA,NA,NA,NA
1971,Literature,The Nobel Prize in  Literature,1,1,450000,3321850,NA,received,for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1971,645,Pablo Neruda,Pablo Neruda,Pablo,Neruda,Pablo Neruda,(pen-name of Neftalí Ricardo Reyes Basoalto),male,http://masterdataapi.nobelprize.org/2/laureate/645,1904-07-12,Parral,Parral,South America,Chile,Chile,"Parral, Chile",1973-09-23,Santiago,Santiago,South America,Chile,Chile,"Santiago, Chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Chile,NA,NA,NA,NA,NA
1972,Literature,The Nobel Prize in  Literature,1,1,480000,3345725,NA,received,for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1972,647,Heinrich Böll,Heinrich Böll,Heinrich,Böll,Heinrich Böll,NA,male,http://masterdataapi.nobelprize.org/2/laureate/647,1917-12-21,Cologne,Cologne,Europe,Germany,Germany,"Cologne, Germany",1985-07-16,Bornheim-Merten,Bornheim-Merten,Europe,West Germany,Germany,"Bornheim-Merten, West Germany (now Germany)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Germany,NA,NA,NA,NA,NA
1973,Literature,The Nobel Prize in  Literature,1,1,510000,3331882,NA,received,for an epic and psychological narrative art which has introduced a new continent into literature,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1973,648,Patrick White,Patrick White,Patrick,White,Patrick White,NA,male,http://masterdataapi.nobelprize.org/2/laureate/648,1912-05-28,London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom",1990-09-30,Sydney,Sydney,Oceania,Australia,Australia,"Sydney, Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Australia,NA,NA,NA,NA,NA
1974,Literature,The Nobel Prize in  Literature,1,1/2,550000,3263449,NA,received,"for a narrative art, far-seeing in lands and ages, in the service of freedom",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1974,649,Eyvind Johnson,Eyvind Johnson,Eyvind,Johnson,Eyvind Johnson,NA,male,http://masterdataapi.nobelprize.org/2/laureate/649,1900-07-29,Svartbjörnsbyn,Svartbjörnsbyn,Europe,Sweden,Sweden,"Svartbjörnsbyn, Sweden",1976-08-25,Stockholm,Stockholm,Europe,Sweden,Sweden,"Stockholm, Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Sweden,NA,NA,NA,NA,NA
1974,Literature,The Nobel Prize in  Literature,2,1/2,550000,3263449,NA,received,for writings that catch the dewdrop and reflect the cosmos,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1974,650,Harry Martinson,Harry Martinson,Harry,Martinson,Harry Martinson,NA,male,http://masterdataapi.nobelprize.org/2/laureate/650,1904-05-06,Jämshög,Jämshög,Europe,Sweden,Sweden,"Jämshög, Sweden",1978-02-11,Stockholm,Stockholm,Europe,Sweden,Sweden,"Stockholm, Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Sweden,NA,NA,NA,NA,NA
1975,Literature,The Nobel Prize in  Literature,1,1,630000,3404179,1975-10-23,received,"for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1975,651,Eugenio Montale,Eugenio Montale,Eugenio,Montale,Eugenio Montale,NA,male,http://masterdataapi.nobelprize.org/2/laureate/651,1896-10-12,Genoa,Genoa,Europe,Italy,Italy,"Genoa, Italy",1981-09-12,Milan,Milan,Europe,Italy,Italy,"Milan, Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Italy,NA,NA,NA,NA,NA
1976,Literature,The Nobel Prize in  Literature,1,1,681000,3342605,NA,received,for the human understanding and subtle analysis of contemporary culture that are combined in his work,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1976,652,Saul Bellow,Saul Bellow,Saul,Bellow,Saul Bellow,NA,male,http://masterdataapi.nobelprize.org/2/laureate/652,1915-06-10,Montreal,Montreal,North America,Canada,Canada,"Montreal, Canada",2005-04-05,"Brookline, MA","Brookline, MA",North America,USA,USA,"Brookline, MA, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,USA,NA,NA,NA,NA,NA
1977,Literature,The Nobel Prize in  Literature,1,1,700000,3080986,NA,received,"for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1977,653,Vicente Aleixandre,Vicente Aleixandre,Vicente,Aleixandre,Vicente Aleixandre,NA,male,http://masterdataapi.nobelprize.org/2/laureate/653,1898-04-26,Sevilla,Sevilla,Europe,Spain,Spain,"Sevilla, Spain",1984-12-14,Madrid,Madrid,Europe,Spain,Spain,"Madrid, Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Spain,NA,NA,NA,NA,NA
1978,Literature,The Nobel Prize in  Literature,1,1,725000,2898454,NA,received,"for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1978,654,Isaac Bashevis Singer,Isaac Bashevis Singer,Isaac Bashevis,Singer,Isaac Bashevis Singer,NA,male,http://masterdataapi.nobelprize.org/2/laureate/654,1904-07-14,Leoncin,Leoncin,Europe,Russian Empire,Poland,"Leoncin, Russian Empire (now Poland)",1991-07-24,"Surfside, FL","Surfside, FL",North America,USA,USA,"Surfside, FL, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,USA,NA,NA,NA,NA,NA
1979,Literature,The Nobel Prize in  Literature,1,1,800000,2988048,NA,received,"for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1979,655,Odysseus Elytis,Odysseus Elytis,Odysseus,Elytis,Odysseus Elytis,(pen-name of Odysseus Alepoudhelis),male,http://masterdataapi.nobelprize.org/2/laureate/655,1911-11-02,Iráklion,Iráklion,Europe,Crete,Greece,"Iráklion, Crete (now Greece)",1996-03-18,Athens,Athens,Europe,Greece,Greece,"Athens, Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Greece,NA,NA,NA,NA,NA
1980,Literature,The Nobel Prize in  Literature,1,1,880000,2889667,NA,received,who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1980,657,Czeslaw Milosz,Czeslaw Milosz,Czeslaw,Milosz,Czeslaw Milosz,NA,male,http://masterdataapi.nobelprize.org/2/laureate/657,1911-06-30,Śeteniai,Śeteniai,Europe,Russian Empire,Lithuania,"Śeteniai, Russian Empire (now Lithuania)",2004-08-14,Kraków,Kraków,Europe,Poland,Poland,"Kraków, Poland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Poland,USA,NA,NA,NA,NA
1981,Literature,The Nobel Prize in  Literature,1,1,1000000,2929688,NA,received,"for writings marked by a broad outlook, a wealth of ideas and artistic power",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1981,658,Elias Canetti,Elias Canetti,Elias,Canetti,Elias Canetti,NA,male,http://masterdataapi.nobelprize.org/2/laureate/658,1905-07-25,Ruse,Ruse,Europe,Bulgaria,Bulgaria,"Ruse, Bulgaria",1994-08-14,Zurich,Zurich,Europe,Switzerland,Switzerland,"Zurich, Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,United Kingdom,NA,NA,NA,NA,NA
1982,Literature,The Nobel Prize in  Literature,1,1,1150000,3102518,NA,received,"for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1982,659,Gabriel García Márquez,Gabriel García Márquez,Gabriel,García Márquez,Gabriel García Márquez,NA,male,http://masterdataapi.nobelprize.org/2/laureate/659,1927-03-06,Aracataca,Aracataca,South America,Colombia,Colombia,"Aracataca, Colombia",2014-04-17,Mexico City,Mexico City,North America,Mexico,Mexico,"Mexico City, Mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Mexico,NA,NA,NA,NA,NA
1983,Literature,The Nobel Prize in  Literature,1,1,1500000,3715324,NA,received,"for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1983,660,William Golding,William Golding,William,Golding,William Golding,NA,male,http://masterdataapi.nobelprize.org/2/laureate/660,1911-09-19,St. Columb Minor,St. Columb Minor,Europe,United Kingdom,United Kingdom,"St. Columb Minor, United Kingdom",1993-06-19,Perranarworthal,Perranarworthal,Europe,United Kingdom,United Kingdom,"Perranarworthal, United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,United Kingdom,NA,NA,NA,NA,NA
1984,Literature,The Nobel Prize in  Literature,1,1,1650000,3782090,NA,received,"for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1984,661,Jaroslav Seifert,Jaroslav Seifert,Jaroslav,Seifert,Jaroslav Seifert,NA,male,http://masterdataapi.nobelprize.org/2/laureate/661,1901-09-23,Prague,Prague,Europe,Austria-Hungary,Czech Republic,"Prague, Austria-Hungary (now Czech Republic)",1986-01-10,Prague,Prague,Europe,Czechoslovakia,Czech Republic,"Prague, Czechoslovakia (now Czech Republic)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Czechoslovakia (now Czech Republic),NA,NA,NA,NA,NA
